Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Meta,Reference,Company,High,0.95,GBS Concept Advertising Inc.,,,
Meta,Reference,Period,High,0.95,"For the year ended December 31, 2022",,,
Meta,Reference,Currency,High,0.95,PHP,,,
Balance Sheet,Other,Net_Income_For_The_Year,High,0.95,374628,925386,,
Balance Sheet,Other,Total_Cash_Applied_To_Provided_By_Operating_Activities,High,0.95,374628,925386,,
Balance Sheet,Other,Increase_Decrease_In_Current_Assets,High,0.90,101320,-186855,,
Balance Sheet,Other,Increase_Decrease_In_Current_Liabilities,High,0.90,-495624,-435694,,
Balance Sheet,Other,Cash_Paid_For_Income_Taxes,High,0.90,-93657,-231347,,
Balance Sheet,Other,Net_Cash_Applied_Operating_Activities,High,0.95,-113333,71491,,
Balance Sheet,Other,Net_Cash_Provided_By_Investing_Financing_Activities,Medium,0.10,None,2750000,,
Balance Sheet,Other,Net_Increase_Decrease_In_Cash,High,0.95,-113333,2821491,,
Balance Sheet,Other,Beg_Balance_01_01_2022,High,0.95,4382991,1561500,,
Balance Sheet,Other,Cash_Balance_End_12_31_2022,High,0.95,4269658,4382991,,
