Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Meta,Reference,Company,High,0.95,GBS CONCEPT ADVERTISING INC.,,,
Meta,Reference,Period,High,0.95,"For the year ended December 31, 2021 (With comparative figures for 2020)",,,
Meta,Reference,Currency,High,0.95,PHP,,,
Balance Sheet,Other,Net_Income_For_The_Year,High,0.95,925386,207192,,
Balance Sheet,Other,Total_Cash_Applied_To_Provided_By_Operating_Activities,High,0.95,925386,207192,,
Balance Sheet,Other,Increase_Decrease_In_Current_Assets,High,0.90,-186855,76362,,
Balance Sheet,Other,Increase_Decrease_In_Current_Liabilities,High,0.90,-435694,1139070,,
Balance Sheet,Other,Increase_Decrease_In_Non_Current_Liabilities,Medium,0.70,None,-1102310,,
Balance Sheet,Other,Cash_Paid_For_Income_Taxes,High,0.90,-231347,-62158,,
Balance Sheet,Other,Net_Cash_Applied_Operating_Activities,High,0.95,71491,258156,,
Balance Sheet,Other,Proceeds_From_Additional_Issuance_Of_Paid_Up_Capital,High,0.95,2750000,250000,,
Balance Sheet,Other,Increase_Decrease_In_Non_Current_Liabilities,Medium,0.70,None,-1600000,,
Balance Sheet,Other,Net_Cash_Provided_By_Investing_Financing_Activities,High,0.95,2750000,-1350000,,
Balance Sheet,Other,Net_Increase_Decrease_In_Cash,High,0.95,2821491,-1091844,,
Balance Sheet,Other,Beginning_Balance_01_01_2021,High,0.95,1561500,2653344,,
Balance Sheet,Other,Cash_Balance_End_12_31_2021,High,0.95,4382991,1561500,,
