Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Meta,Reference,Year,,,2024,2023,,
Balance Sheet,Current Assets,Cash and Cash Equivalents,95.00%,0.95,40506296,14011556,,
Balance Sheet,Current Assets,Trade and Other Current Receivables,95.00%,0.95,93102625,102434862,,
Balance Sheet,Current Assets,Current Inventories,,,,,,
Balance Sheet,Current Assets,Current Tax Assets,,,,,,
Balance Sheet,Current Assets,Current biological assets,,,,,,
Balance Sheet,Current Assets,Other current financial assets,,,,,,
Balance Sheet,Current Assets,Other current non-financial assets,95.00%,0.95,72591698,22796639,,
Balance Sheet,Current Assets,Current non-cash assets pledged as collateral for which transferee has right by contract or custom to sell or repledge collateral,,,,,,
Balance Sheet,Current Assets,Non-current assets or disposal groups classified as held for sale or as held for distribution to owners,,,,,,
Balance Sheet,Current Assets,Total Current Assets,95.00%,0.95,206200619,139243056,,
Balance Sheet,Non Current Assets,"Property, Plant and Equipment",95.00%,0.95,240617,1992274,,
Balance Sheet,Non Current Assets,Investment Property,,,,,,
Balance Sheet,Non Current Assets,Goodwill,,,,,,
Balance Sheet,Non Current Assets,Intangible assets other than goodwill,,,,,,
Balance Sheet,Non Current Assets,Investment accounted for using equity method,,,,,,
Balance Sheet,Non Current Assets,"Investments in subsidiaries, joint ventures and associates",,,,,,
Balance Sheet,Non Current Assets,Non-current biological assets,,,,,,
Balance Sheet,Non Current Assets,Trade and other non-current receivables,,,,,,
Balance Sheet,Non Current Assets,Non-current inventories,,,,,,
Balance Sheet,Non Current Assets,Deferred tax assets,,,,,,
Balance Sheet,Non Current Assets,"Current tax assets, non-current",,,,,,
Balance Sheet,Non Current Assets,Other non-current financial assets,95.00%,0.95,3000000,1900000,,
Balance Sheet,Non Current Assets,Other non-current non-financial assets,95.00%,0.95,57086992,126866242,,
Balance Sheet,Non Current Assets,Non-current non-cash assets pledged as collateral for which transferee has right by contract or custom to sell or repledge collateral,,,,,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.00%,0.95,60546713,130758516,,
Balance Sheet,Totals,Total Assets,95.00%,0.95,266747332,270001572,,
Balance Sheet,Totals,Total Liabilities And Equity,95.00%,0.95,266747332,270001572,,
Balance Sheet,Current Liabilities,Current provisions for employee benefits,,,,,,
Balance Sheet,Current Liabilities,Other current provisions,,,,,,
Balance Sheet,Current Liabilities,Trade and other current payables,95.00%,0.95,44907778,23297018,,
Balance Sheet,Current Liabilities,"Current tax liabilities, current",95.00%,0.95,3243704,3735208,,
Balance Sheet,Current Liabilities,Other current financial liabilities,95.00%,0.95,12172744,9752679,,
Balance Sheet,Current Liabilities,Other current non-financial liabilities,95.00%,0.95,18394950,20250238,,
Balance Sheet,Current Liabilities,Liabilities included in disposal groups classified as held for sale,,,,,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.00%,0.95,78719175,57035143,,
Balance Sheet,Non Current Liabilities,Non-current provisions for employee benefits,,,,,,
Balance Sheet,Non Current Liabilities,Other non-current provisions,,,,,,
Balance Sheet,Non Current Liabilities,Trade and other non-current payables,95.00%,0.95,21810579,28927669,,
Balance Sheet,Non Current Liabilities,Deferred tax liabilities,,,,,,
Balance Sheet,Non Current Liabilities,"Current tax liabilities, non-current",,,,,,
Balance Sheet,Non Current Liabilities,Other long-term financial liabilities,95.00%,0.95,13000000,,,
Balance Sheet,Non Current Liabilities,Other non-current non-financial liabilities,95.00%,0.95,7176268,46018833,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.00%,0.95,41986847,74946502,,
Balance Sheet,Equity,Issued (share) capital,95.00%,0.95,45667200,45667200,,
Balance Sheet,Equity,Share premium,95.00%,0.95,15833600,15833600,,
Balance Sheet,Equity,Treasury shares,95.00%,0.95,-2705400,-2347826,,
Balance Sheet,Equity,Other equity interest,,,,,,
Balance Sheet,Equity,Other reserves,,,,,,
Balance Sheet,Equity,Retained earnings,95.00%,0.95,44675911,17396953,,
Balance Sheet,Equity,Non-controlling interests,,,,,,
Balance Sheet,Equity,Equity,,,,,,
Balance Sheet,Equity,Liabilities,,,,,,
Balance Sheet,Equity,Total Equity,95.00%,0.95,146041311,138019927,,
Income Statement,Revenue,Revenue,95.00%,0.95,249788478,292800617,,
Income Statement,Revenue,Cost of Sales,95.00%,0.95,202328679,246283513,,
Income Statement,Revenue,Gross Profit,95.00%,0.95,47459800,46517104,,
Income Statement,Revenue,Other income,,,,,,
Income Statement,Revenue,Distribution costs,,,,,,
Income Statement,Revenue,Administrative expense,95.00%,0.95,35409424,35413180,,
Income Statement,Revenue,Other expense,,,,,,
Income Statement,Revenue,Other gains(losses),,,,,,
Income Statement,Revenue,Profit (loss) from operating activities,,,,,,
Income Statement,Before Tax,Difference between carrying amount of dividends payable and carrying amount of non-cash assets distributed 1,,,,,,
Income Statement,Before Tax,Gains (losses) on net monetary position 1,,,,,,
Income Statement,Before Tax,Gain (loss) arising from derecognition of financial assets measured at amortised cost 1,,,,,,
Income Statement,Before Tax,Finance income,,,,,,
Income Statement,Before Tax,Finance costs,,,,,,
Income Statement,Before Tax,Impairment loss (impairment gain and reversal of impairment loss) determined in accordance with IFRS 9 1,,,,,,
Income Statement,Before Tax,Share of profit(loss) of associates in joint ventures accounted for using equity method 1,,,,,,
Income Statement,Before Tax,"Other income (expense) from subsidiaries, jointly controlled entities and associates 1",,,,,,
Income Statement,Before Tax,Gains (losses) arising form difference between previous carrying amount and fair value of financial assets reclassified as measured at fair value1,,,,,,
Income Statement,Before Tax,Cumulative gain (loss) previously recognised in other comprehensive income arising from reclassification of financial assets out of fair value through other comprehensive income into fair value through profit or loss measurement category. 1,,,,,,
Income Statement,Before Tax,Hedging gains (losses) for hedge of group of items with offsetting risk positions 1,,,,,,
Income Statement,Before Tax,Profit (loss) before tax,95.00%,0.95,12024098,15140447,,
Income Statement,After Tax,Income tax expense (from continuing operations),95.00%,0.95,3243704,3735208,,
Income Statement,After Tax,Profit (loss) from continuing operations,,,,,,
Income Statement,After Tax,Profit (loss from discontinued operations,,,,,,
Income Statement,After Tax,Profit (loss),,,,,,
Income Statement,After Tax,Other comprehensive income,,,,,,
Income Statement,After Tax,Comprehensive / Net income,95.00%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Amortization Expense,,,,,,
Cash Flow Statement,Operating Activities,Depreciation Expense,,,,,,
Cash Flow Statement,Operating Activities,Net Cashflow from Operations (per FS),95.00%,0.95,,,,
Cash Flow Statement,Operating Activities,Amortization,,,,,,
Cash Flow Statement,Operating Activities,Depreciation,,,,,,
Cash Flow Statement,Operating Activities,Interest Expense,,,,,,
Cash Flow Statement,Operating Activities,Non-Cash Expenses,,,,,,
Cash Flow Statement,Operating Activities,Principal Payments,,,,,,
Cash Flow Statement,Operating Activities,Interest Payments,,,,,,
Cash Flow Statement,Operating Activities,Lease Payments,,,,,,

