file_name,page_number,statement_type,confidence,template_field,value,field_confidence,value_year_1,value_year_2,value_year_3,value_year_4,raw_field_data
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Cash and Cash Equivalents,2557457,0.95,2557457,1778716,,,"{'value': 2557457, 'confidence': 0.95, 'Value_Year_1': 2557457, 'Value_Year_2': 1778716}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Trade and Other Current Receivables,26274253,0.95,26274253,27409240,,,"{'value': 26274253, 'confidence': 0.95, 'Value_Year_1': 26274253, 'Value_Year_2': 27409240}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Current Inventories,10190218,0.95,10190218,13984772,,,"{'value': 10190218, 'confidence': 0.95, 'Value_Year_1': 10190218, 'Value_Year_2': 13984772}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Other current non-financial assets,542778,0.9,542778,2131849,,,"{'value': 542778, 'confidence': 0.9, 'Value_Year_1': 542778, 'Value_Year_2': 2131849}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Total Current Assets,39564706,0.95,39564706,45304577,,,"{'value': 39564706, 'confidence': 0.95, 'Value_Year_1': 39564706, 'Value_Year_2': 45304577}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,"Property, Plant and Equipment",7059947,0.95,7059947,8170659,,,"{'value': 7059947, 'confidence': 0.95, 'Value_Year_1': 7059947, 'Value_Year_2': 8170659}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Total Non Current Assets,7059947,0.95,7059947,8170659,,,"{'value': 7059947, 'confidence': 0.95, 'Value_Year_1': 7059947, 'Value_Year_2': 8170659}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Total Assets,46624653,0.95,46624653,53475236,,,"{'value': 46624653, 'confidence': 0.95, 'Value_Year_1': 46624653, 'Value_Year_2': 53475236}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Other current financial liabilities,394471,0.9,394471,185171,,,"{'value': 394471, 'confidence': 0.9, 'Value_Year_1': 394471, 'Value_Year_2': 185171}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,"Current tax liabilities, current",497148,0.9,497148,109612,,,"{'value': 497148, 'confidence': 0.9, 'Value_Year_1': 497148, 'Value_Year_2': 109612}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Total Current Liabilities,891619,0.95,891619,13945542,,,"{'value': 891619, 'confidence': 0.95, 'Value_Year_1': 891619, 'Value_Year_2': 13945542}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Issued (share) capital,27000000,0.95,27000000,27000000,,,"{'value': 27000000, 'confidence': 0.95, 'Value_Year_1': 27000000, 'Value_Year_2': 27000000}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Retained earnings,18733034,0.95,18733034,12529695,,,"{'value': 18733034, 'confidence': 0.95, 'Value_Year_1': 18733034, 'Value_Year_2': 12529695}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Total Equity,45733034,0.95,45733034,39529695,,,"{'value': 45733034, 'confidence': 0.95, 'Value_Year_1': 45733034, 'Value_Year_2': 39529695}"
2021 AFS with SEC Stamp - statement extracted,1,balance_sheet,0.95,Total Liabilities And Equity,46624653,0.95,46624653,53475236,,,"{'value': 46624653, 'confidence': 0.95, 'Value_Year_1': 46624653, 'Value_Year_2': 53475236}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Revenue,173582385,0.95,173582385,130786452,,,"{'value': 173582385, 'confidence': 0.95, 'Value_Year_1': 173582385, 'Value_Year_2': 130786452}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Cost of Sales,155025195,0.95,155025195,120662197,,,"{'value': 155025195, 'confidence': 0.95, 'Value_Year_1': 155025195, 'Value_Year_2': 120662197}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Gross Profit,18557190,0.95,18557190,10124256,,,"{'value': 18557190, 'confidence': 0.95, 'Value_Year_1': 18557190, 'Value_Year_2': 10124256}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Administrative expense,10803016,0.9,10803016,6958247,,,"{'value': 10803016, 'confidence': 0.9, 'Value_Year_1': 10803016, 'Value_Year_2': 6958247}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Profit (loss) before tax,7754174,0.95,7754174,3166008,,,"{'value': 7754174, 'confidence': 0.95, 'Value_Year_1': 7754174, 'Value_Year_2': 3166008}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Income tax expense (from continuing operations),1550835,0.9,1550835,949803,,,"{'value': 1550835, 'confidence': 0.9, 'Value_Year_1': 1550835, 'Value_Year_2': 949803}"
2021 AFS with SEC Stamp - statement extracted,2,income_statement,0.95,Comprehensive / Net income,6203339,0.95,6203339,2216206,,,"{'value': 6203339, 'confidence': 0.95, 'Value_Year_1': 6203339, 'Value_Year_2': 2216206}"
2021 AFS with SEC Stamp - statement extracted,3,equity_statement,0.95,Issued (share) capital,27000000,0.95,27000000,27000000,,,"{'value': 27000000, 'confidence': 0.95, 'Value_Year_1': 27000000, 'Value_Year_2': 27000000}"
2021 AFS with SEC Stamp - statement extracted,3,equity_statement,0.95,Retained earnings,18733034,0.95,18733034,12529695,,,"{'value': 18733034, 'confidence': 0.95, 'Value_Year_1': 18733034, 'Value_Year_2': 12529695}"
2021 AFS with SEC Stamp - statement extracted,3,equity_statement,0.95,Total Equity,45733034,0.95,45733034,39529695,,,"{'value': 45733034, 'confidence': 0.95, 'Value_Year_1': 45733034, 'Value_Year_2': 39529695}"
2021 AFS with SEC Stamp - statement extracted,3,equity_statement,0.95,Comprehensive / Net income,6203339,0.9,6203339,2216206,,,"{'value': 6203339, 'confidence': 0.9, 'Value_Year_1': 6203339, 'Value_Year_2': 2216206}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Comprehensive / Net income,6203339,0.95,6203339,2216206,,,"{'value': 6203339, 'confidence': 0.95, 'Value_Year_1': 6203339, 'Value_Year_2': 2216206}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Depreciation Expense,1110712,0.95,1110712,1148023,,,"{'value': 1110712, 'confidence': 0.95, 'Value_Year_1': 1110712, 'Value_Year_2': 1148023}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Net Cashflow from Operations (per FS),7314051,0.95,7314051,3114226,,,"{'value': 7314051, 'confidence': 0.95, 'Value_Year_1': 7314051, 'Value_Year_2': 3114226}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Trade and Other Current Receivables,1134987,0.9,1134987,14367700,,,"{'value': 1134987, 'confidence': 0.9, 'Value_Year_1': 1134987, 'Value_Year_2': 14367700}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Current Inventories,3794555,0.9,3794555,-6079772,,,"{'value': 3794555, 'confidence': 0.9, 'Value_Year_1': 3794555, 'Value_Year_2': -6079772}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Other current non-financial assets,1589071,0.85,1589071,480761,,,"{'value': 1589071, 'confidence': 0.85, 'Value_Year_1': 1589071, 'Value_Year_2': 480761}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Trade and other current payables,-13650759,0.9,-13650759,-5736801,,,"{'value': -13650759, 'confidence': 0.9, 'Value_Year_1': -13650759, 'Value_Year_2': -5736801}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Other current non-financial liabilities,596836,0.9,596836,-1279439,,,"{'value': 596836, 'confidence': 0.9, 'Value_Year_1': 596836, 'Value_Year_2': -1279439}"
2021 AFS with SEC Stamp - statement extracted,5,cash_flow,0.95,Cash and Cash Equivalents,2557457,0.95,2557457,1778716,,,"{'value': 2557457, 'confidence': 0.95, 'Value_Year_1': 2557457, 'Value_Year_2': 1778716}"
