file_name,page_number,statement_type,confidence,template_field,value,field_confidence,value_year_1,value_year_2,value_year_3,value_year_4,raw_field_data
AFS-2022 - statement extracted,1,balance_sheet,0.95,Cash and Cash Equivalents,10041673,0.95,10041673,11237376,,,"{'value': 10041673, 'confidence': 0.95, 'Value_Year_1': 10041673, 'Value_Year_2': 11237376}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Trade and Other Current Receivables,6965863,0.95,6965863,9085459,,,"{'value': 6965863, 'confidence': 0.95, 'Value_Year_1': 6965863, 'Value_Year_2': 9085459}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Current Inventories,216357523,0.95,216357523,181220353,,,"{'value': 216357523, 'confidence': 0.95, 'Value_Year_1': 216357523, 'Value_Year_2': 181220353}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Current Assets,233365059,0.95,233365059,201543188,,,"{'value': 233365059, 'confidence': 0.95, 'Value_Year_1': 233365059, 'Value_Year_2': 201543188}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,"Property, Plant and Equipment",58663112,0.95,58663112,59868152,,,"{'value': 58663112, 'confidence': 0.95, 'Value_Year_1': 58663112, 'Value_Year_2': 59868152}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Other non-current non-financial assets,5438613,0.9,5438613,2314137,,,"{'value': 5438613, 'confidence': 0.9, 'Value_Year_1': 5438613, 'Value_Year_2': 2314137}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Non Current Assets,64101725,0.95,64101725,62182289,,,"{'value': 64101725, 'confidence': 0.95, 'Value_Year_1': 64101725, 'Value_Year_2': 62182289}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Assets,297466784,0.95,297466784,263725477,,,"{'value': 297466784, 'confidence': 0.95, 'Value_Year_1': 297466784, 'Value_Year_2': 263725477}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Trade and other current payables,178874377,0.95,178874377,151497735,,,"{'value': 178874377, 'confidence': 0.95, 'Value_Year_1': 178874377, 'Value_Year_2': 151497735}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Current Liabilities,178874377,0.95,178874377,151497735,,,"{'value': 178874377, 'confidence': 0.95, 'Value_Year_1': 178874377, 'Value_Year_2': 151497735}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Non Current Liabilities,0,0.95,0,0,,,"{'value': 0, 'confidence': 0.95, 'Value_Year_1': 0, 'Value_Year_2': 0}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Issued (share) capital,46000000,0.95,46000000,46000000,,,"{'value': 46000000, 'confidence': 0.95, 'Value_Year_1': 46000000, 'Value_Year_2': 46000000}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Retained earnings,72592407,0.95,72592407,66227742,,,"{'value': 72592407, 'confidence': 0.95, 'Value_Year_1': 72592407, 'Value_Year_2': 66227742}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Equity,118592407,0.95,118592407,112227742,,,"{'value': 118592407, 'confidence': 0.95, 'Value_Year_1': 118592407, 'Value_Year_2': 112227742}"
AFS-2022 - statement extracted,1,balance_sheet,0.95,Total Liabilities And Equity,297466784,0.95,297466784,263725477,,,"{'value': 297466784, 'confidence': 0.95, 'Value_Year_1': 297466784, 'Value_Year_2': 263725477}"
AFS-2022 - statement extracted,2,equity_statement,0.95,Issued (share) capital,46000000,0.95,46000000,46000000,,,"{'value': 46000000, 'confidence': 0.95, 'Value_Year_1': 46000000, 'Value_Year_2': 46000000}"
AFS-2022 - statement extracted,2,equity_statement,0.95,Retained earnings,72592407,0.95,72592407,66227742,,,"{'value': 72592407, 'confidence': 0.95, 'Value_Year_1': 72592407, 'Value_Year_2': 66227742}"
AFS-2022 - statement extracted,2,equity_statement,0.95,Total Equity,118592407,0.95,118592407,112227742,,,"{'value': 118592407, 'confidence': 0.95, 'Value_Year_1': 118592407, 'Value_Year_2': 112227742}"
AFS-2022 - statement extracted,2,equity_statement,0.95,Comprehensive / Net income,6364665,0.9,6364665,6621599,,,"{'value': 6364665, 'confidence': 0.9, 'Value_Year_1': 6364665, 'Value_Year_2': 6621599}"
