file_name,page_number,statement_type,confidence,template_field,value,field_confidence,value_year_1,value_year_2,value_year_3,value_year_4,raw_field_data
AFS2024 - statement extracted,1,balance_sheet,0.95,Cash and Cash Equivalents,40506296,0.95,40506296,14011556,,,"{'value': 40506296, 'confidence': 0.95, 'Value_Year_1': 40506296, 'Value_Year_2': 14011556}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Trade and Other Current Receivables,93102625,0.95,93102625,102434862,,,"{'value': 93102625, 'confidence': 0.95, 'Value_Year_1': 93102625, 'Value_Year_2': 102434862}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other current non-financial assets,72591698,0.9,72591698,22796639,,,"{'value': 72591698, 'confidence': 0.9, 'Value_Year_1': 72591698, 'Value_Year_2': 22796639}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Current Assets,206200619,0.95,206200619,139243056,,,"{'value': 206200619, 'confidence': 0.95, 'Value_Year_1': 206200619, 'Value_Year_2': 139243056}"
AFS2024 - statement extracted,1,balance_sheet,0.95,"Investments in subsidiaries, joint ventures and associates",3000000,0.9,3000000,1900000,,,"{'value': 3000000, 'confidence': 0.9, 'Value_Year_1': 3000000, 'Value_Year_2': 1900000}"
AFS2024 - statement extracted,1,balance_sheet,0.95,"Property, Plant and Equipment",240617,0.95,240617,1992274,,,"{'value': 240617, 'confidence': 0.95, 'Value_Year_1': 240617, 'Value_Year_2': 1992274}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other non-current non-financial assets,57086992,0.9,57086992,126866242,,,"{'value': 57086992, 'confidence': 0.9, 'Value_Year_1': 57086992, 'Value_Year_2': 126866242}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Non Current Assets,60546713,0.95,60546713,130758516,,,"{'value': 60546713, 'confidence': 0.95, 'Value_Year_1': 60546713, 'Value_Year_2': 130758516}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Assets,266747332,0.95,266747332,270001572,,,"{'value': 266747332, 'confidence': 0.95, 'Value_Year_1': 266747332, 'Value_Year_2': 270001572}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Trade and other current payables,44907778,0.95,44907778,23297018,,,"{'value': 44907778, 'confidence': 0.95, 'Value_Year_1': 44907778, 'Value_Year_2': 23297018}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Current tax liabilities,3243704,0.95,3243704,3735208,,,"{'value': 3243704, 'confidence': 0.95, 'Value_Year_1': 3243704, 'Value_Year_2': 3735208}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other current financial liabilities,12172744,0.9,12172744,9752679,,,"{'value': 12172744, 'confidence': 0.9, 'Value_Year_1': 12172744, 'Value_Year_2': 9752679}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other current non-financial liabilities,18394950,0.9,18394950,20250238,,,"{'value': 18394950, 'confidence': 0.9, 'Value_Year_1': 18394950, 'Value_Year_2': 20250238}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Current Liabilities,78719175,0.95,78719175,57035143,,,"{'value': 78719175, 'confidence': 0.95, 'Value_Year_1': 78719175, 'Value_Year_2': 57035143}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other long-term financial liabilities,34810579,0.85,34810579,28927669,,,"{'value': 34810579, 'confidence': 0.85, 'Value_Year_1': 34810579, 'Value_Year_2': 28927669}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other non-current financial liabilities,7176268,0.85,7176268,46018833,,,"{'value': 7176268, 'confidence': 0.85, 'Value_Year_1': 7176268, 'Value_Year_2': 46018833}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Non Current Liabilities,41986847,0.95,41986847,74946502,,,"{'value': 41986847, 'confidence': 0.95, 'Value_Year_1': 41986847, 'Value_Year_2': 74946502}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Liabilities,120706022,0.95,120706022,131981645,,,"{'value': 120706022, 'confidence': 0.95, 'Value_Year_1': 120706022, 'Value_Year_2': 131981645}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Issued (share) capital,45667200,0.95,45667200,45667200,,,"{'value': 45667200, 'confidence': 0.95, 'Value_Year_1': 45667200, 'Value_Year_2': 45667200}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Share premium,15833600,0.95,15833600,15833600,,,"{'value': 15833600, 'confidence': 0.95, 'Value_Year_1': 15833600, 'Value_Year_2': 15833600}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Other reserves,47246911,0.85,47246911,77396953,,,"{'value': 47246911, 'confidence': 0.85, 'Value_Year_1': 47246911, 'Value_Year_2': 77396953}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Treasury shares,-2705400,0.9,-2705400,-2347826,,,"{'value': -2705400, 'confidence': 0.9, 'Value_Year_1': -2705400, 'Value_Year_2': -2347826}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Equity,146041311,0.95,146041311,138019927,,,"{'value': 146041311, 'confidence': 0.95, 'Value_Year_1': 146041311, 'Value_Year_2': 138019927}"
AFS2024 - statement extracted,1,balance_sheet,0.95,Total Liabilities And Equity,266747332,0.95,266747332,270001572,,,"{'value': 266747332, 'confidence': 0.95, 'Value_Year_1': 266747332, 'Value_Year_2': 270001572}"
AFS2024 - statement extracted,2,income_statement,0.95,Revenue,249788478,0.95,249788478,292800617,,,"{'value': 249788478, 'confidence': 0.95, 'Value_Year_1': 249788478, 'Value_Year_2': 292800617}"
AFS2024 - statement extracted,2,income_statement,0.95,Cost of Sales,202328679,0.95,202328679,246283513,,,"{'value': 202328679, 'confidence': 0.95, 'Value_Year_1': 202328679, 'Value_Year_2': 246283513}"
AFS2024 - statement extracted,2,income_statement,0.95,Gross Profit,47459800,0.95,47459800,46517104,,,"{'value': 47459800, 'confidence': 0.95, 'Value_Year_1': 47459800, 'Value_Year_2': 46517104}"
AFS2024 - statement extracted,2,income_statement,0.95,Administrative expense,35409424,0.95,35409424,35413180,,,"{'value': 35409424, 'confidence': 0.95, 'Value_Year_1': 35409424, 'Value_Year_2': 35413180}"
AFS2024 - statement extracted,2,income_statement,0.95,Profit (loss) from operating activities,12050376,0.95,12050376,11103924,,,"{'value': 12050376, 'confidence': 0.95, 'Value_Year_1': 12050376, 'Value_Year_2': 11103924}"
AFS2024 - statement extracted,2,income_statement,0.95,Other income,-26278,0.9,-26278,4036523,,,"{'value': -26278, 'confidence': 0.9, 'Value_Year_1': -26278, 'Value_Year_2': 4036523}"
AFS2024 - statement extracted,2,income_statement,0.95,Profit (loss) before tax,12024098,0.95,12024098,15140447,,,"{'value': 12024098, 'confidence': 0.95, 'Value_Year_1': 12024098, 'Value_Year_2': 15140447}"
AFS2024 - statement extracted,2,income_statement,0.95,Income tax expense (from continuing operations),3243704,0.95,3243704,3735208,,,"{'value': 3243704, 'confidence': 0.95, 'Value_Year_1': 3243704, 'Value_Year_2': 3735208}"
