Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2024,2023,,
Balance Sheet,Current Assets,Cash And Equivalents,0.0%,0.0,,,,
Balance Sheet,Current Assets,Accounts Receivable,0.0%,0.0,,,,
Balance Sheet,Current Assets,Inventory,0.0%,0.0,,,,
Balance Sheet,Current Assets,Total Current Assets,0.0%,0.0,,,,
Balance Sheet,Non Current Assets,Property Plant Equipment,0.0%,0.0,,,,
Balance Sheet,Non Current Assets,Intangible Assets,0.0%,0.0,,,,
Balance Sheet,Non Current Assets,Total Non Current Assets,0.0%,0.0,,,,
Balance Sheet,Current Liabilities,Accounts Payable,0.0%,0.0,,,,
Balance Sheet,Current Liabilities,Short Term Debt,0.0%,0.0,,,,
Balance Sheet,Current Liabilities,Total Current Liabilities,0.0%,0.0,,,,
Balance Sheet,Non Current Liabilities,Long Term Debt,0.0%,0.0,,,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,0.0%,0.0,,,,
Balance Sheet,Equity,Share Capital,0.0%,0.0,,,,
Balance Sheet,Equity,Retained Earnings,0.0%,0.0,,,,
Balance Sheet,Equity,Total Equity,0.0%,0.0,,,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,266747332,270001572,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,266747332,270001572,,
Income Statement,Revenues,Net Sales,95.0%,0.95,249788478,292800617,,
Income Statement,Revenues,Other Income,0.0%,0.0,,,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,249788478,292800617,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,92.0%,0.92,202328679,246283513,,
Income Statement,Operating Expenses,Selling Expenses,0.0%,0.0,,,,
Income Statement,Operating Expenses,Administrative Expenses,85.0%,0.85,35409424,35413180,,
Income Statement,Operating Expenses,Total Operating Expenses,90.0%,0.9,35409424,35413180,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,47459800,46517104,,
Income Statement,Profitability,Operating Income,93.0%,0.93,12050376,11103924,,
Income Statement,Profitability,Net Income,95.0%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Depreciation,0.0%,0.0,,,,
Cash Flow Statement,Operating Activities,Working Capital Changes,0.0%,0.0,,,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,0.0%,0.0,,,,
Cash Flow Statement,Investing Activities,Capital Expenditures,0.0%,0.0,,,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,0.0%,0.0,,,,
Cash Flow Statement,Financing Activities,Dividends Paid,0.0%,0.0,,,,
Cash Flow Statement,Financing Activities,Debt Proceeds,0.0%,0.0,,,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,0.0%,0.0,,,,
