Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0,2024,2023,,
Balance Sheet,Current Assets,Cash And Equivalents,95.00%,0.95,40506296,14011556,,
Balance Sheet,Current Assets,Accounts Receivable,90.00%,0.9,93102625,102434862,,
Balance Sheet,Current Assets,Other Current Assets,85.00%,0.85,72591698,22796639,,
Balance Sheet,Current Assets,Total Current Assets,95.00%,0.95,206200619,139243056,,
Balance Sheet,Non Current Assets,Investment In Non Proprietary Shares,88.00%,0.88,3000000,1900000,,
Balance Sheet,Non Current Assets,Property Plant Equipment,92.00%,0.92,240617,1992274,,
Balance Sheet,Non Current Assets,Other Non Current Assets,88.00%,0.88,57306992,126866242,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.00%,0.95,60546713,130758516,,
Balance Sheet,Current Liabilities,Accounts Payable,88.00%,0.88,44907778,23297018,,
Balance Sheet,Current Liabilities,Income Tax Payable,85.00%,0.85,3243704,3735208,,
Balance Sheet,Current Liabilities,Short Term Debt,90.00%,0.9,12172744,9752679,,
Balance Sheet,Current Liabilities,Other Current Liabilities,85.00%,0.85,18394950,20250238,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.00%,0.95,78719175,57035143,,
Balance Sheet,Non Current Liabilities,Advances From Stockholder,88.00%,0.88,21810579,28927669,,
Balance Sheet,Non Current Liabilities,Long Term Liabilities,90.00%,0.9,13000000,0,,
Balance Sheet,Non Current Liabilities,Other Long Term Liabilities,85.00%,0.85,7176268,46018833,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.00%,0.95,41986847,74946502,,
Balance Sheet,Equity,Share Capital,95.00%,0.95,45667200,45667200,,
Balance Sheet,Equity,Additional Paid In Capital,90.00%,0.9,15833600,15833600,,
Balance Sheet,Equity,Cumulative Earnings Appropriated,90.00%,0.9,40000000,60000000,,
Balance Sheet,Equity,Cumulative Earnings Deficit,90.00%,0.9,44675911,17396953,,
Balance Sheet,Equity,Gain Loss On Fair Value Of Asset Held For Sale,85.00%,0.85,2570000,1470000,,
Balance Sheet,Equity,Treasury Shares,85.00%,0.85,-2705400,-2347826,,
Balance Sheet,Equity,Total Equity,95.00%,0.95,146041311,138019927,,
Balance Sheet,Totals,Total Assets,98.00%,0.98,266747332,270001572,,
Balance Sheet,Totals,Total Liabilities And Equity,98.00%,0.98,266747332,270001572,,
Income Statement,Revenues,Net Sales,95.00%,0.95,249788478,292800617,,
Income Statement,Revenues,Total Revenue,95.00%,0.95,249788478,292800617,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,92.00%,0.92,202328679,246283513,,
Income Statement,Operating Expenses,General Admin Expenses,85.00%,0.85,35409424,35413180,,
Income Statement,Operating Expenses,Total Operating Expenses,90.00%,0.9,35409424,35413180,,
Income Statement,Profitability,Gross Profit,95.00%,0.95,47459800,46517104,,
Income Statement,Profitability,Operating Income,93.00%,0.93,12050376,11103924,,
Income Statement,Profitability,Net Income,95.00%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Net Income,95.00%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,85.00%,0.85,,,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,85.00%,0.85,,,,
Cash Flow Statement,Financing Activities,Dividends Paid,85.00%,0.85,2500187,,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,85.00%,0.85,,,,
