Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2024,2023,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,40506296,14011556,,
Balance Sheet,Current Assets,Accounts Receivable,90.0%,0.9,93102625,102434862,,
Balance Sheet,Current Assets,Inventory,85.0%,0.85,72591698,22796639,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,206200619,139243056,,
Balance Sheet,Non Current Assets,Property Plant Equipment,92.0%,0.92,240617,1992274,,
Balance Sheet,Non Current Assets,Intangible Assets,88.0%,0.88,57306092,126866242,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,60546713,130758516,,
Balance Sheet,Current Liabilities,Accounts Payable,88.0%,0.88,44907778,23297018,,
Balance Sheet,Current Liabilities,Short Term Debt,90.0%,0.9,12172744,9752679,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,78719175,57035143,,
Balance Sheet,Non Current Liabilities,Long Term Debt,92.0%,0.92,13000000,0,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.0%,0.95,41986847,74946502,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,45667200,45667200,,
Balance Sheet,Equity,Retained Earnings,90.0%,0.9,44675911,17396953,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,146041311,138019927,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,266747332,270001572,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,266747332,270001572,,
Income Statement,Revenues,Net Sales,95.0%,0.95,249788478,292800617,,
Income Statement,Revenues,Other Income,80.0%,0.8,-26278,4036523,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,249762200,296837140,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,92.0%,0.92,202328679,246283513,,
Income Statement,Operating Expenses,Selling Expenses,88.0%,0.88,0,0,,
Income Statement,Operating Expenses,Administrative Expenses,85.0%,0.85,35409424,35413180,,
Income Statement,Operating Expenses,Total Operating Expenses,90.0%,0.9,35409424,35413180,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,47459800,46517104,,
Income Statement,Profitability,Operating Income,93.0%,0.93,12050376,11103924,,
Income Statement,Profitability,Net Income,95.0%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,8780395,11405239,,
Cash Flow Statement,Operating Activities,Depreciation,90.0%,0.9,0,0,,
Cash Flow Statement,Operating Activities,Working Capital Changes,85.0%,0.85,0,0,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,95.0%,0.95,0,0,,
Cash Flow Statement,Investing Activities,Capital Expenditures,88.0%,0.88,0,0,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,90.0%,0.9,0,0,,
Cash Flow Statement,Financing Activities,Dividends Paid,85.0%,0.85,0,0,,
Cash Flow Statement,Financing Activities,Debt Proceeds,88.0%,0.88,0,0,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,90.0%,0.9,0,0,,
