Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0,2022,2021,2020,
Balance Sheet,Current Assets,Total Current Assets,95.00%,0.95,4563148,4777801,1769455,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.00%,0.95,0,0,0,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.00%,0.95,306391,802015,1237709,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.00%,0.95,0,0,0,
Balance Sheet,Equity,Share Capital,95.00%,0.95,3062500,3062500,312500,
Balance Sheet,Equity,Retained Earnings,90.00%,0.9,1194256,913285,219245,
Balance Sheet,Equity,Total Equity,95.00%,0.95,4256756,3975785,531745,
Balance Sheet,Totals,Total Assets,98.00%,0.98,4563148,4777801,1769455,
Balance Sheet,Totals,Total Liabilities And Equity,98.00%,0.98,4563148,4777801,1769455,
Income Statement,Revenues,Total Revenue,95.00%,0.95,9843009,20406722,7944185,
Income Statement,Cost Of Sales,Cost Of Goods Sold,92.00%,0.92,8632290,18690375,7153194,
Income Statement,Operating Expenses,Administrative Expenses,85.00%,0.85,836091,790961,583789,
Income Statement,Profitability,Gross Profit,95.00%,0.95,1210719,1716347,790990,
Income Statement,Profitability,Net Income,95.00%,0.95,280971,694040,145034,
Cash Flow Statement,Operating Activities,Net Income,95.00%,0.95,280971,925386,207192,
Cash Flow Statement,Investing Activities,Net Cash From Investing,90.00%,0.9,0,2750000,"-1,350,000",
Cash Flow Statement,Financing Activities,Net Cash From Financing,90.00%,0.9,0,2750000,"-1,350,000",
