Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,40506296,,,
Balance Sheet,Current Assets,Accounts Receivable,90.0%,0.9,93102625,,,
Balance Sheet,Current Assets,Other Current Assets,85.0%,0.85,72591698,,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,206200619,,,
Balance Sheet,Non Current Assets,Investment In Non Proprietary Shares,92.0%,0.92,3000000,,,
Balance Sheet,Non Current Assets,Property Plant Equipment,92.0%,0.92,240617,,,
Balance Sheet,Non Current Assets,Other Non Current Assets,88.0%,0.88,57306992,,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,60546713,,,
Balance Sheet,Current Liabilities,Accounts Payable,88.0%,0.88,44907778,,,
Balance Sheet,Current Liabilities,Income Tax Payable,90.0%,0.9,3243704,,,
Balance Sheet,Current Liabilities,Loans Payable Current Portion,90.0%,0.9,12172744,,,
Balance Sheet,Current Liabilities,Other Current Liabilities,90.0%,0.9,18394950,,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,78719175,,,
Balance Sheet,Non Current Liabilities,Advances From Stockholder,92.0%,0.92,21810579,,,
Balance Sheet,Non Current Liabilities,Long Term Liabilities,92.0%,0.92,13000000,,,
Balance Sheet,Non Current Liabilities,Other Long Term Liabilities,92.0%,0.92,7176268,,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.0%,0.95,41986847,,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,45667200,,,
Balance Sheet,Equity,Additional Paid In Capital,95.0%,0.95,15833600,,,
Balance Sheet,Equity,Cumulative Earnings Appropriated,90.0%,0.9,40000000,,,
Balance Sheet,Equity,Cumulative Earnings Deficit,90.0%,0.9,44675911,,,
Balance Sheet,Equity,Gain Loss On Fair Value Of Asset Held For Sale,90.0%,0.9,2570000,,,
Balance Sheet,Equity,Treasury Shares,90.0%,0.9,-2705400,,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,146041311,,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,266747332,,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,266747332,,,
Income Statement,Revenues,Net Sales,95.0%,0.95,249788478,,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,249788478,,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,92.0%,0.92,202328679,,,
Income Statement,Operating Expenses,General Admin Expenses,85.0%,0.85,35409424,,,
Income Statement,Operating Expenses,Total Operating Expenses,90.0%,0.9,35409424,,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,47459800,,,
Income Statement,Profitability,Operating Income,93.0%,0.93,12050376,,,
Income Statement,Profitability,Net Income,95.0%,0.95,8780395,,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,8780395,,,
