Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2021,2020,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,2557457,1778716,,
Balance Sheet,Current Assets,Accounts Receivable,95.0%,0.95,26274253,27409240,,
Balance Sheet,Current Assets,Inventory,95.0%,0.95,10190218,13984772,,
Balance Sheet,Current Assets,Other Current Assets,95.0%,0.95,542778,2131849,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,39564706,45304577,,
Balance Sheet,Non Current Assets,Property Plant Equipment,95.0%,0.95,7059947,8170659,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,7059947,8170659,,
Balance Sheet,Current Liabilities,Accounts Payable,95.0%,0.95,0,1860759,,
Balance Sheet,Current Liabilities,Short Term Debt,95.0%,0.95,0,13650759,,
Balance Sheet,Current Liabilities,Other Current Liabilities,95.0%,0.95,394471,185171,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,891619,13945542,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,27000000,27000000,,
Balance Sheet,Equity,Retained Earnings,95.0%,0.95,18733034,12529695,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,45733034,39529695,,
Balance Sheet,Totals,Total Assets,95.0%,0.95,46624653,53475236,,
Balance Sheet,Totals,Total Liabilities And Equity,95.0%,0.95,46624653,53475236,,
Income Statement,Revenues,Net Sales,95.0%,0.95,173582385,130786452,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,173582385,130786452,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,95.0%,0.95,155025195,120662197,,
Income Statement,Operating Expenses,Total Operating Expenses,95.0%,0.95,10803016,6958247,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,18557190,10124256,,
Income Statement,Profitability,Net Income,95.0%,0.95,6203339,2216206,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,6203339,2216206,,
Cash Flow Statement,Operating Activities,Depreciation,95.0%,0.95,1110712,1148023,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,95.0%,0.95,-6535311,-2569546,,
