Statement,Category,Line_Item,Value,Confidence,Base_Year,Year_1,Year_2,Year_3
Balance Sheet,Current Assets,Cash And Equivalents,10041673,95.0%,10041673,11237376,,
Balance Sheet,Current Assets,Accounts Receivable,6965863,95.0%,6965863,9085459,,
Balance Sheet,Current Assets,Inventory,216357523,95.0%,216357523,181220353,,
Balance Sheet,Current Assets,Total Current Assets,233365059,95.0%,233365059,201543188,,
Balance Sheet,Non Current Assets,Property Plant Equipment,58663112,95.0%,58663112,59868152,,
Balance Sheet,Non Current Assets,Other Non Current Assets,5438613,95.0%,5438613,2314137,,
Balance Sheet,Non Current Assets,Total Non Current Assets,64101725,95.0%,64101725,62182289,,
Balance Sheet,Current Liabilities,Accounts Payable,178874377,95.0%,178874377,151497735,,
Balance Sheet,Current Liabilities,Total Current Liabilities,178874377,95.0%,178874377,151497735,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,0,90.0%,,,,
Balance Sheet,Equity,Share Capital,46000000,95.0%,46000000,46000000,,
Balance Sheet,Equity,Retained Earnings,72592407,95.0%,72592407,66227742,,
Balance Sheet,Equity,Total Equity,118592407,95.0%,118592407,112227742,,
Balance Sheet,Totals,Total Assets,297466784,95.0%,297466784,263725477,,
Balance Sheet,Totals,Total Liabilities And Equity,297466784,95.0%,297466784,263725477,,
Income Statement,Revenues,Net Sales,485192483,95.0%,485192483,487225599,,
Income Statement,Revenues,Total Revenue,485192483,95.0%,485192483,487225599,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,439318810,95.0%,439318810,440879641,,
Income Statement,Operating Expenses,Administrative Expenses,37387453,95.0%,37387453,37517159,,
Income Statement,Profitability,Gross Profit,45873673,95.0%,45873673,46345958,,
Income Statement,Profitability,Net Income,6364665,95.0%,6364665,6621599,,
Cash Flow Statement,Operating Activities,Net Income,6364665,95.0%,6364665,6621599,,
Cash Flow Statement,Operating Activities,Depreciation,1205040,95.0%,1205040,1218229,,
Cash Flow Statement,Operating Activities,Working Capital Changes,-8765408,95.0%,-8765408,-3855085,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,7569705,95.0%,7569705,7839828,,
Cash Flow Statement,Investing Activities,Capital Expenditures,-47537,95.0%,,-47537,,
Cash Flow Statement,Summary,Net Increase Decrease In Cash,-1195704,95.0%,-1195704,1837324,,
Cash Flow Statement,Summary,Cash Balance At Beginning Of Year,11237376,95.0%,11237376,9400052,,
Cash Flow Statement,Summary,Cash Balance At End Of Year,10041673,95.0%,10041673,11237376,,
