Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2024.0,2023.0,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,40506296.0,14011556.0,,
Balance Sheet,Current Assets,Accounts Receivable,90.0%,0.9,93102625.0,102434862.0,,
Balance Sheet,Current Assets,Other Current Assets,85.0%,0.85,72591698.0,22796639.0,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,206200619.0,139243056.0,,
Balance Sheet,Non Current Assets,Investment In Non Proprietary Shares,92.0%,0.92,3000000.0,1900000.0,,
Balance Sheet,Non Current Assets,Property Plant Equipment,92.0%,0.92,240617.0,1992274.0,,
Balance Sheet,Non Current Assets,Other Non Current Assets,88.0%,0.88,57306992.0,126866242.0,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,60546713.0,130758516.0,,
Balance Sheet,Current Liabilities,Accounts Payable,88.0%,0.88,44907778.0,23297018.0,,
Balance Sheet,Current Liabilities,Income Tax Payable,90.0%,0.9,3243704.0,3735208.0,,
Balance Sheet,Current Liabilities,Short Term Debt,90.0%,0.9,12172744.0,9752679.0,,
Balance Sheet,Current Liabilities,Other Current Liabilities,85.0%,0.85,18394950.0,20250238.0,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,78719175.0,57035143.0,,
Balance Sheet,Non Current Liabilities,Advances From Stockholder,92.0%,0.92,21810579.0,28927669.0,,
Balance Sheet,Non Current Liabilities,Long Term Liabilities,92.0%,0.92,13000000.0,0.0,,
Balance Sheet,Non Current Liabilities,Other Long Term Liabilities,88.0%,0.88,7176268.0,46018833.0,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.0%,0.95,41986847.0,74946502.0,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,45667200.0,45667200.0,,
Balance Sheet,Equity,Additional Paid In Capital,90.0%,0.9,15833600.0,15833600.0,,
Balance Sheet,Equity,Cumulative Earnings Appropriated,90.0%,0.9,40000000.0,60000000.0,,
Balance Sheet,Equity,Cumulative Earnings Deficit,90.0%,0.9,44675911.0,17396953.0,,
Balance Sheet,Equity,Gain Loss On Fair Value Of Asset Held For Sale,85.0%,0.85,2570000.0,1470000.0,,
Balance Sheet,Equity,Treasury Shares,85.0%,0.85,-2705400.0,-2347826.0,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,146041311.0,138019927.0,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,266747332.0,270001572.0,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,266747332.0,270001572.0,,
Income Statement,Revenues,Net Sales,70.0%,0.7,,,,
Income Statement,Revenues,Other Income,70.0%,0.7,,,,
Income Statement,Revenues,Total Revenue,70.0%,0.7,,,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,70.0%,0.7,,,,
Income Statement,Operating Expenses,General Admin Expenses,70.0%,0.7,,,,
Income Statement,Operating Expenses,Total Operating Expenses,70.0%,0.7,,,,
Income Statement,Profitability,Gross Profit,70.0%,0.7,,,,
Income Statement,Profitability,Operating Income,70.0%,0.7,,,,
Income Statement,Profitability,Net Income,70.0%,0.7,,,,
Cash Flow Statement,Operating Activities,Net Income,70.0%,0.7,,,,
Cash Flow Statement,Operating Activities,Depreciation,70.0%,0.7,,,,
Cash Flow Statement,Operating Activities,Working Capital Changes,70.0%,0.7,,,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,70.0%,0.7,,,,
Cash Flow Statement,Investing Activities,Capital Expenditures,70.0%,0.7,,,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,70.0%,0.7,,,,
Cash Flow Statement,Financing Activities,Dividends Paid,70.0%,0.7,,,,
Cash Flow Statement,Financing Activities,Debt Proceeds,70.0%,0.7,,,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,70.0%,0.7,,,,
